Gene
CDH1
STK16
MAL
GJB1
TESK1
PTH2R
DNAJC9
SRI
WWP1
AKT1S1
MYOD1
NF1
CPNE1
BNIP3L
NUCB2
AADAC
MITF
CEACAM5
GMNN
ATP5A1
C19orf12
BRCA2
GMPR
SMARCA4
PCDH9
MAK
PCK2
GFRA1
BAALC
RNASEL
B4GALT5
MYC
LPAR3
DUSP4
CDKN3
E2F6
FAM58A
PARP4
KRT6
FOXJ1
HSP90AA1
USP8
HIF1A
SMO
CTLA4
CCNE1
ASRGL1
FGFR1
IL22
PPP2R4
ZFHX4
SPTLC2
PD.1
FOXP3
RB1
CXCL10
PAX2
OPA1
EZR
OASL
RARRES1
ANXA4
HBB
SERPINE1
MINPP1
APPL2
MRPS27
MDM2
CDK6
CRABP2
SHPRH
WDR91
NTRK2
GUSB
OR1G1
TAP1
ESR2
IGHM
CX3CR1
MRE11A
VCAN
GTF2H5
MEST
IGF2
KDM5D
TCF7L1
VSIG4
NF2
FOXRED2
MAP2K4
ADH1B
TBX2
NUAK2
ESD
FGF1
ZNHIT2
PGRA
KLHL7
SOX17
TSHR
CXCL9
